cat,var,arr
CENT2,Cent2LitSomAcc,nut_df
CQ,CQ_AgronYieldMoistFrac,zone_df
CQ,CQ_C,zone_df
CQ,CQ_CHarvAlloc,zonecrop_df
CQ,CQ_CHarvAllocCurr,zone_df
CQ,CQ_ClosedCanCurr,zone_df
CQ,CQ_CLWR,zonecrop_df
CQ,CQ_CLWRCurr,zone_df
CQ,CQ_ConductivityCurr,zone_df
CQ,CQ_CovEffCurr,zone_df
CQ,CQ_CRelLUE,zonecrop_df
CQ,CQ_CRelLUECurr,zone_df
CQ,CQ_CropType,zone_df
CQ,CQ_CropWeedSwitch,zone_df
CQ,CQ_CRtAlloc,zonecrop_df
CQ,CQ_CRtAllocCurr,zone_df
CQ,CQ_CSLA,zonecrop_df
CQ,CQ_CSLACurr,zone_df
CQ,CQ_CTimeGenCurr,zone_df
CQ,CQ_CTimeVegCurr,zone_df
CQ,CQ_CType,zone_df
CQ,CQ_CWswitch,zone_df
CQ,CQ_DOYFlwDOYBegin,zone_df
CQ,CQ_DOYFlwEnd,zone_df
CQ,CQ_GroMaxCurr,zone_df
CQ,CQ_GSeedCurr,zone_df
CQ,CQ_HBiomConvCurr,zone_df
CQ,CQ_kLightCurr,zone_df
CQ,CQ_LignResidCurr,zone_df
CQ,CQ_LignRootResCurr,zone_df
CQ,CQ_MaxMycInf,zone_df
CQ,CQ_NConcOldCurr,zonenut_df
CQ,CQ_NConcYoungCurr,zonenut_df
CQ,CQ_NFixDailyFracCurr,zone_df
CQ,CQ_NFixDWMaxFracCurr,zone_df
CQ,CQ_NFixDWUnitCostCurr,zone_df
CQ,CQ_NFixRespCurr,zone_df
CQ,CQ_NFixVariable_isCurr,zone_df
CQ,CQ_NRtConcCurr,zone_df
CQ,CQ_PolyResid,zone_df
CQ,CQ_PolyRt,zone_df
CQ,CQ_PotSuctAlphMaxCurr,zone_df
CQ,CQ_PotSuctAlphMinCurr,zone_df
CQ,CQ_RainWStorCapCurr,zone_df
CQ,CQ_RelLightMaxCurr,zone_df
CQ,CQ_RemobFrac,zone_df
CQ,CQ_RtDiam,zone_df
CQ,CQ_SingleCycle_isCur,zone_df
CQ,CQ_Stage,zone_df
CQ,CQ_StageAfterHarvest,zone_df
CQ,CQ_StageInc,zone_df
CQ,CQ_TranspRatioCurr,zone_df
CQ,CQ_WeedRestart_is,zone_df
CQ,CQ_WeedZn_is,zone_df
CW,CW_Best,zonebuf_df
CW,CW_CheckShouldBe,zone_df
CW,CW_Conduct,zonelayer_df
CW,CW_ConductSum,zone_df
CW,CW_DemandAct,zone_df
CW,CW_DemandActRange,zonebuf_df
CW,CW_DemandPerRoot,zone_df
CW,CW_DemandPot,zone_df
CW,CW_DemandRedFac,zone_df
CW,CW_DemRedFacRange,zonebuf_df
CW,CW_DriestVoxel,zone_df
CW,CW_DryFactRangePower,zone_df
CW,CW_DryFactRangeUpdate,zone_df
CW,CW_DrySoilFact,zonebuf_df
CW,CW_EqTheta,zonelayer_df
CW,CW_HEGrad,zonelayer_df
CW,CW_HEqFactor,zone_df
CW,CW_Hyd,zonelayer_df
CW,CW_HydF,zonelayer_df
CW,CW_HydFlux,zonelayer_df
CW,CW_HydFluxPosTot,zone_df
CW,CW_HydR,zonelayer_df
CW,CW_HydRInvSum,zone_df
CW,CW_m,zone_df
CW,CW_MaxUptofRange,zone_df
