var,label,desc,unit,min,max
CQ_DOYFlwDOYBegin,Earliest day to flower in a year ,,Julian day,,
CQ_DOYFlwEnd,Latest day to flower in a year ,The latest day in a year when crop start to flowers,julian days,1,365
CQ_GroMax,Production of dry matter per day,"Maximum daily dry matter production rate at full light capture, for each crop species under local conditions",kg m-2 day-1,0.001,0.1
CQ_GroMaxCurr,Production of dry matter per day,"Maximum daily dry matter production rate at full light capture, for each crop species under local conditions",kg/(m2.day) ,,
CQ_Gseed,Seed weight,Seed weight (initial C_CarbHydrReserves to be used for growth).,kg m-2,0.001,0.1
CQ_GSeedCurr,Seed weight,Seed weight (initial C_CarbHydrReserves to be used for growth).,kg/m2 ,,
CQ_HBiomConv,Ratio of height increment to biomass incr.,Factor for conversion of crop biomass increment (up to crop stage 1) to crop height increment,,0.1,10
CQ_HBiomConvCurr,Ratio of height increment to biomass incr.,Factor for conversion of crop biomass increment (up to crop stage 1) to crop height increment,m/kg2 ,,
CQ_kLight,Extinction light coefficient,Light extinction coefficient for the crop canopy = efficiency of crop foliage in absorbing light.,,0,1
CQ_kLightCurr,Extinction light coefficient,Light extinction coefficient for the crop canopy = efficiency of crop foliage in absorbing light.,,,
CQ_LAIMax,,Maximum leaf area index for the crop; if more biomass is produced a proportional amount is transferred to the litter layer,,,
CQ_LignResid,Lignin fraction of crop residue,Lignin concentration of crop residue (eg. 20%=0.2).,,0,1
CQ_LignResidCurr,Lignin fraction of crop residue,Lignin concentration of crop residue (eg. 20%=0.2).,,,
CQ_LignRootRes,Lignin fraction of crop root residue,Lignin concentration of crop root residues,,0,1
CQ_LignRootResCurr,Lignin fraction of crop root residue,Lignin concentration of crop root residues,,,
CQ_Lp,,"Hydraulic conductivity of crop roots, reflecting the physiological entry resistance to water per unit root length and unit gradient.",cm day-1,0,0.00001
CQ_MaxMycInf,Fraction of roots infected by mychorrhiza,,,,
CQ_MaxRemob,,"Maximum proportion of stem and leaves remobilized per day to the CarbHydrReserves pool, from which it can, for example, be used for growth of the storage component (grain, tuber)",day-1,0,0.1
CQ_MycMaxInf,,Fraction of crop roots infected by mycorrhiza for a soil layer where the Rt_MTInfFrac parameter is 1,,0,1
CQ_NConcOldCurr,Nutrient concentration in crop tissue,,,,
CQ_NConcYoungCurr,Nutrient concentration in young crop biomass,,,,
CQ_NFixDailyFracCurr,Proportion of N from atmosphere,,,,
CQ_NFixDayFrac,,"Fraction of current N deficit derived from atmospheric N2 fixation per day for each crop type, if Cq_NFixVariable = 0 ('false').",day-1,0,1
CQ_NFixDWMaxFrac,,Maximum fraction of the C_GroRes[Dw] pool that can be respired for N2 fixation if Cq_NFixVariable = 0 ('false'),day-1,0,0.5
CQ_NFixDWMaxFracCurr,Fraction of reserve pool for N2 fix. ,Maximum fraction of the C_GroRes[Dw] pool that can be respired for N2 fixation if Cq_NFixVariable = 0 ('false'),1/day,,
CQ_NFixDWUnitCost,,"Dry weight cost for respiration per unit N2 fixation, if Cq_NFixVariable = 0 ('false')",kg [dw]  g-1 [N],0,1
CQ_NFixDWUnitCostCurr,Dry weight cost for N2 fixation,"Dry weight cost for respiration per unit N2 fixation, if Cq_NFixVariable = 0 ('false')",kg(DW)/g(N),,
CQ_NFixResp,,"Responsiveness of N2 fixation to N stress (N in biomass divided by N target), if Cq_NFixVariable = 0 ('false')",,0,5
CQ_NFixRespCurr,Responsiveness of N2 fix. to N stress,"Responsiveness of N2 fixation to N stress (N in biomass divided by N target), if Cq_NFixVariable = 0 ('false')",,,
CQ_NFixVariable_is,,"Switch (0 = false, 1 = true) to choose between variable (N-stress dependent) versus constant N2 fixation as fraction of N deficit",,,
CQ_NFixVariable_is_Curr,Type of N2 fixation,"Switch (0 = false, 1 = true) to choose between variable (N-stress dependent) versus constant N2 fixation as fraction of N deficit",,,
CQ_NRtConcCurr,N concentration in roots,,,,
CQ_NutMobC,,"Relative rate of transfer, per unit root length density (cm cm-3), from the 'immobile' pool of nutrients to the 'mobile' or sorbed pool, due to Crop root activity",m2 day-1,0,0.02
CQ_PolyResid,Polyphenol fraction of crop residue,,,,
CQ_PolyRt,Polyphenol fraction of crop root residue,,,,
CQ_PotSuctAlphMax,,"Plant potential where transpiration is (1-Alpha)*potential transpiration,Alpha is a small value (e.g. 0.01). Value could be different depend on crop type.",cm,6000,4000
CQ_PotSuctAlphMaxCurr,Maximum plant potential ,"Plant potential where transpiration is (1-Alpha)*potential transpiration,Alpha is a small value (e.g. 0.01). Value could be different depend on crop type.",cm ,,
CQ_PotSuctAlphMin,,"Plant potential where transpiration is Alpha*potential transpiration, Alpha is a small value (e.g. 0.01). Value could be different depend on crop type.",cm,16000,14000
CQ_PotSuctAlphMinCurr,Minimum plant potential ,"Plant potential where transpiration is Alpha*potential transpiration, Alpha is a small value (e.g. 0.01). Value could be different depend on crop type.",cm ,,
CQ_RainWStorCap,,Rainfall water stored as thin film at leaf surface,mm,0,2
CQ_RainWStorCapCurr,Rainfall water stored at leaf surface,Rainfall water stored as thin film at leaf surface,mm,,
CQ_RelLightMaxCurr,Relative light intensity at which shading starts to affect crop growth,,,,
CQ_RelLightMaxGr,,Relative light intensity at which shading starts to affect tree growth,,0,1
CQ_RemobFrac,Maximum proportion of crop biomass remobilized as storage component ,,1/day,,
CQ_RhizEffKaPC,,"Proportional reduction of the apparent adsorption constant for P due to root activity of the crop, expressed as fraction of N_KaPdef per unit crop root length density",m2 day-1,0,0.2
CQ_RtAlloc,,Fraction of crop growth reserves allocated to root biomass in the absence of water or nutrient stress as a function of crop stage (only for Rt_ACType=2).,day-1,,
CQ_RtAllocResp,,"Crop root allocation responsiveness to water or nutrient (the factor currently in minimum supply) stress; 0 = constant root allocation, 1 = linear response to water and nitrogen stress, >1 more-than-proportional response (only for Rt_ACType = 2)",,0,2
CQ_RtDiam,Root tip diameter,Crop root diameter. It is used in calculating water and nutrient uptake.,cm,0.05,1
CQ_SingleCycle_is,,"A parameter deciding what happens after fruits are ripe: 1 = annual that dies back, 0 = perennial that returns to crop stage =1.",,,
CQ_SingleCycle_is_Cur,"Is it annual crop? 1=yes, 0 = no","A parameter deciding what happens after fruits are ripe: 1 = annual that dies back, 0 = perennial that returns to crop stage =1.",,,
CQ_SLA,,"Crop specific leaf area = green surface area (one-sided) per unit leaf dry weight, for each crop species as a function of crop growth stage. For Cq_Atype =1, .., 5, default values are provided. Cq_AType = 6, .,10 user defined, as before.",m2 g-1,,
CQ_TimeGen,,"Length of generative stage for each crop. For Cq_Atype =1, .., 5, default values are provided, but can be modified to adopt the default crop parameters to local conditions.",days,0,1000
CQ_TimeVeg,,"Length of vegetative stage for each crop. For Cq_Atype =1, .., 5, default values are provided, but can be modified to adopt the default crop parameters to local conditions.",days,0,1000
CQ_TranspRatio,,"Amount of water needed per unit dry matter production of each crop species. For Cq_Atype =1, .., 5, default values are provided. For Cq_AType=6, .., 10 user defined",l kg-1 ,200,600
CQ_TranspRatioCurr,Water requirement for dry matter production,"Amount of water needed per unit dry matter production of each crop species. For Cq_Atype =1, .., 5, default values are provided. For Cq_AType=6, .., 10 user defined",l/kg ,,
CQ_WeedType,,Weed type. This is user defined. Weed biomass growth follows the rules of crop growth. It takes the same type of parameters as crop. All the related input parameters are in Excel sheet,,,
CW_EnergyDrivenEpot_is,,"Switch (1 = yes, 0 = no) to determine whether the crop water demand driven by Epot",,,
E_BulkDens,,Bulk density used in converting soil mass movement to changes in volume of topsoil per zone,g cm-3,0.5,1.6
E_CovEffT,Tree cover efficiency factor,Tree cover efficiency factor (per unit tree LAI),,0,1
