var,label,desc,unit,min,max
T_PrunY,,Schedule for year of pruning. Entered from Wanulcas.xls,,,
T_RainWStorCap,Rainfall water stored at leaf surface,Rainfall intercepted by tree stored as thin film at leaf surface,,,
T_RecoveryExp,,,,,
T_RelFruitAllocMax,Fraction biomass allocated to fruit,,,,
T_RelLatexFormPriority,,,,,
T_RelLightMaxGr,Relative light intensity at which shading starts to affect tree growth,Relative light intensity at which shading starts to affect tree growth,,0,1
T_RelPosinZone,Tree Position Within Zone,"Position of each tree within each zone; 0 means the position of the trees on the left side of its zone, 1 means on the right side of its zone.",,0,1
T_RestDayperTappingDay,,Number of days between tapping event,days,,
T_RhizEffKaPT,,"Proportional reduction of the apparent adsorption constant for P due to root activity of the crop, expressed as fraction of N_KaPdef per unit tree root length density",m2 day-1,0,0.2
T_RootConductivity,Coefficient related to tree root conductivity,,cm day-1,,
T_RtConc,Nutrient concentration in root component,,g/g,,
T_RtDiam,,Tree root diameter. It is used in calculating water and nutrient uptake. For all root type.,cm,0.05,3
T_Rubber_is,Tree growth follows Rubber tree rules?,"Switch (1 = yes, 0 = no) to determine whether the tree growth as rubber tree, there is allocation of biomass to latex pool",,,
T_SapWoodScalingRule,,Power coefficient of conversion of diameter of sapwood to heartwood. Default value 1 means no increasing of diameter heartwood,,0,1
T_SLA,Specific leaf area,Tree specific leaf area = tree leaf surface area per unit leaf dry weight,m2 kg-1,0,30
T_SlashLabour,,Amount of labour involved in slashing the field per unit simulated filed as a function of biomass slashed,person days  ,,
T_SlashSellWoodFrac,,Indicates the fraction of wood that is removed from the plot at the time of slashing the vegetation,,0,1
T_StageAftPrun,Stage after pruning,Tree growth stage after pruning,,0,2
T_Tapatall_is,,"Switch (1 = yes, 0 = no) to determine whether the tree will tapped or not",,,
T_TapGirthFraction,,Fraction of girth for tapped,,0.3,0.5
T_TappableHeight,,Maximum length of stem bark can be tapped,cm,100,150
T_TappDOW,,Tapping day of work,days,,
T_TappingFrac,,Constant value of fraction of latex stock would be tapped everyday,,0,1
T_TappingFracMultiplier,,Quick modification on dynamic value of fraction of latex stock would be tapped,,,
T_TappingSlice,,Bark thickness of tapping,cm,0.3,0.5
T_Temp2,,Temperature for maintenance respiration,,,
T_TempRespMaint,,A graphical relation between temperature and maintenance respiration,,,
T_TimeGenCycle,Length of generative cycle,Length of generative cycles of tree,days,,
T_TimeVeg,Length of vegetative cycle,Length of vegetative cycles of tree,days,,
T_TranspRatio,Water requirement for dry matter production,Amount of water needed per unit dry matter production of tree,l kg-1,0,500
T_TranspRatioTime,,Graphical input parameter as a function of tree stage that determine the dynamic of tree transpiration per unit biomass production,-,,
T_TreesperHa,Tree Density,Tree plant density,,,
T_TwigConc,Nutrient concentration in twig component,,g/g,,
T_WoodBiomInit,,Initial amount of biomass in tree stem,kg per tree,0,1
T_WoodConc,Nutrient concentration in wood component,,g/g,,
T_WoodDens,Wood density,Wood density of each tree species,kg  m-3,,
T_WoodFracHRemain,Fraction of Wood remaining,"Wood height remain after pruning. If you do not want to harvest wood/timber when pruning makes sure this is a high value, eg. 100.",m,0,100
T_WoodHarvDOY,,Schedule for date of pruning. Entered from WANULCAS.XLS,julian days,1,365
T_WoodHarvFrac,Fraction Harvested Wood,Fraction Harvested wood,,0,1
T_WoodHarvY,,Schedule for year of timber harvesting. Entered from WANULCAS.XLS,,,
T_WoodHInit,,Initial value of tree bare stem height (tree height excluded canopy),m,0,15
T_WoodMaintResp,,Fraction of wood biomass use for maintenance respiration,,,
T_WoodMoistFrac,,Standard moisture content for expressing marketable wood of each tree,,0,1
TEMP_AType,Soil Temperature Type,"A number governing type of soil temperature data used in the simulation(0= constant value of soil temperature , 1 =read from monthly average data,2=read from daily data which is read from external file)",,,
TEMP_Cons,Type 1 : constant temperature,Soil temperature throughout the simulation; corresponds to Temp_AType=0,0C,15,40
TEMP_DailyData,,Actual daily data of soil temperature; corresponds to Temp_AType=2. Read from Wanulcas.xls,0C,,
TEMP_DailyPotEvap,Daily soil evaporation potential,Daily potential evaporation. Entered from Wanulcas.xls,mm day-1,,
TEMP_EvapPotConst,,Amount of water evaporating from top soil in absence of plant cover,mm day-1,0,10
TEMP_MonthAvg,Type 2 : monthly average temperature,Monthly average of soil temperature; corresponds toTemp_AType=1. Entered as graphical function,0C,,
TEMP_PotEvapConst_is,Soil Evaporation Potential Type,"Parameter governing type of soil evaporation potential data. 1 = constant throughout simulation, 0 = daily data, 2 = monthly data based on thornthwaite calculation",,,
TF_AbRelSizePow,AbRelSizePow[Sp],,,,
TF_CritFruitWaterPot,CritFruitWaterPot,,cm,,
TF_DWCostUOil,DWCostUOil,,CurrencyUnit/Kg,,
TF_FemSinkperFruit,Female Sink per Fruit,,kg/fruit,,
TF_FirstBudtoFlowerInit,FirstBudtoFlowerInit,,leaves,,
TF_ForgetStress,ForgetStress,,,,
TF_FrondHistFrac,FrondHistFrac,,,,
TF_FrondLDpetInterc,FrondLDperInterc,,m,,
TF_FrondLDpetPower,FrondLDperPower,,,,
TF_FrondLengthStressFac,FrondLengthStressFactor,,,,
TF_FrondWDpetInterc,FrondWDperInterc,,kg,,
TF_FrondWDpetPower,FrondWDperPower,,,,
TF_FruitWaterPot,FruitWaterPot,,cm,,
TF_LeafCumInit,LeafCumInit,,leaves,,
TF_MaleSinkperBunch,Male Sink per Bunch,,kg/bunch,,
TF_MaleThresh,MaleThresh,,,,
TF_MThreshtoWatStress,MTreshtoWStress,,,,
TF_PalmTrunkIntercept,PalmTrunkIntercept,,leaves,,
TF_PalmTrunkInternode,PalmTrunkInternode,,m,,
TF_PhyllochronStressFac,PhyllochronStressFactor,,,,
TF_RadiometricFraction,RadiometricFraction,,,,
TF_StageAbortSens,Stage Abort Sens,,,,
TF_StemDHistFrac,StemDHistFrac,,,,
TF_StemDStressFactor,StemDStressFactor,,,,
TF_TargetOilperBunch,Target Oil per Bunch,,,,
TF_TrunkHIncStressFac,TrunkHIncStressFac,,,,
TF_WatStressAbortFrac,WatStressAbortFrac[Sp],,,,
TW_DrivenEnergyEpot_is,,"Switch (1 = yes, 0 = no) to determine whether the tree water demand driven by Epot",,,
TW_PotSuctAlphMax,Plant potential for max. transpiration,"Plant potential where transpiration is (1-Alpha)*potential transpiration, where Alpha is a small value (e.g. 0.01)",cm,,
TW_PotSuctAlphMin,Plant potential for min. transpiration,"Plant potential where transpiration is Alpha*potential transpiration, where Alpha is a small value (e.g. 0.01)",cm,30000,10000
W_FieldCapkCriti,,Field capacity determined by a threshold rate of subsequent drainage (Kcrit) that is set in the pedotransfer worksheet; the actual field capacity used is the maximum of this value and the field capacity derived from the height above a groundwater table. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotranfer refer to the sheet pedotranfer,m3 water m-3 soil,,
W_Hyd_is,Hydraulic Redst,"Parameter governing water hydraulic lift application in model. 1= apply hydraulic lift in overall water balance, 0=otherwise",,0,1
W_HydEqFraction,,Fraction of water hydraulic lift,fraction,,
W_PhiPxi,,"Graphs showing relationship between pressure head in i-th soil layer of each zone and matrix flux potential (the index x refers to the plants with the highest (H), lowest (L), medium-high (MH) or medium low (ML) rank of root water potential), but the graphs will be identical. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotranfer refer to the sheet pedotranfer",cm2  day-1,,
W_PhiThetai,,Matrix flux potential at a given theta/soil water content in layer I of each zone. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotranfer refer to the sheet pedotranfer,cm2  day-1,,
W_PThetai,,Graphs showing relationship between volumetric soil water content and pressure head in i-th soil layer of each zone. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotranfer refer to the sheet pedotranfer,cm,,
W_ThetaInacci,,Amount of volumetric soil water in i-th soil layer of each zone not available for plant. It is value of volumetric soil water at pF= 4.2 or P = -16000. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotransfer refer to the sheet pedotrasnfer,l m-2 day-1,,
W_ThetaIniti,,"Initial volumetric soil water content relative to water saturated pore volume in i ?th soil layer of each zone. Current values are 1, 0.9, 0.8, 0.7 for layer 1?4, respectively",fraction,,
W_ThetaPi,,Graphs showing relationship between pressure head in i-th soil layer of each zone and volumetric soil water content. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotransfer refer to the sheet pedotransfer,cm,,
W_ThetaPMax,,Volumetric soil water content at a given maximum soil potential at top layer. Read and calculation from Wanulcas.xls (pedotransfer). Input needed to run pedotransfer refer to the sheet pedotransfer,cm,,
W_WaterLog_is,Water logging?,,,,
