var,sub_var,order,Cacao Sulawesi,Cacao-Di,Cacao-M,Cacao-N,Cacao-V,Cacao-Da,Nephelium sp,Artocarpus integer,Psidium guajava L.,Eugenia aquea,Phitecellobium jaringa,Paraserianthes falcataria,Anacardium occidentale,Leucaena leucocephala,Artocarpus heterophyllus,Parkia sp.,Hevea brasilinsis,Annona muricata L.,Gnetum gnemon,Theobroma cacao,Durio zibenthinus Murr.,Mangifera indica,Ceiba pentandra,Achras zapota,Acasia mangium,Tectona grandis,Elais guneensis,Swietenia mahogany,Swietenia macrophilla,Alstonia sp,Peronema canescens,Coffee sp,Bamboo,Gmelina arborea,Lansium domesticum
RT_TLrvL_par,3_1,66,1.4521,1.4521,1.4521,1.4521,1.4521,1.4521,,,,,,,,,,,0,,,,,,,,0,1.830297515,5,,,,,0.36,1.66,,
RT_TLrvL_par,4_1,67,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0.496281307,4,,,,,0,1.38,,
RT_TLrvL_par,1_2,68,0.8,0.8,0.8,0.8,1,0.8,,,,,,,,,,,0.128450643,,,,,,,,0.089033608,0.404587458,7,,,,,1,0.42,,
RT_TLrvL_par,2_2,69,0.58084,0.58084,0.58084,0.58084,0.7454,0.58084,,,,,,,,,,,0.12872307,,,,,,,,0.160223684,0.310924426,6,,,,,0.6,0.4,,
RT_TLrvL_par,3_2,70,0.29042,0.29042,0.29042,0.29042,0.3727,0.29042,,,,,,,,,,,0.128847292,,,,,,,,0.190623621,0.364093579,3,,,,,0.36,0.23,,
RT_TLrvL_par,4_2,71,0,0,0,0,0,0,,,,,,,,,,,0.128889612,,,,,,,,0.200294794,0.144688094,2,,,,,0,0.47,,
RT_TLrvL_par,1_3,72,0.8,0.8,0.8,0.8,0.5,0.8,,,,,,,,,,,0.06283234,,,,,,,,0.181126593,0.152402322,2,,,,,0.7,0.45,,
RT_TLrvL_par,2_3,73,0.58084,0.58084,0.58084,0.58084,0.2568,0.58084,,,,,,,,,,,0.12802033,,,,,,,,0.140697661,0.131937732,1.5,,,,,0.42,0.18,,
RT_TLrvL_par,3_3,74,0.29042,0.29042,0.29042,0.29042,0.1284,0.29042,,,,,,,,,,,0.157744987,,,,,,,,0.123433499,0.151953093,0.4,,,,,0.252,0.2,,
RT_TLrvL_par,4_3,75,0,0,0,0,0,0,,,,,,,,,,,0.167871396,,,,,,,,0.117941228,0.059917526,0.1,,,,,0,0.16,,
RT_TLrvL_par,1_4,76,1.2,1.2,1.2,1.2,0.1,1.2,,,,,,,,,,,0.381472637,,,,,,,,0.286446352,0.093294745,1,,,,,0.4,0.14,,
RT_TLrvL_par,2_4,77,0.87126,0.87126,0.87126,0.87126,0.0128,0.87126,,,,,,,,,,,0.054948914,,,,,,,,0.03420497,0.069535002,0.24,,,,,0.24,0.14,,
RT_TLrvL_par,3_4,78,0.43563,0.43563,0.43563,0.43563,0.0064,0.43563,,,,,,,,,,,0,,,,,,,,0,0.076353488,0.01,,,,,0.144,0.05,,
RT_TLrvL_par,4_4,79,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0.055024921,0,,,,,0,0.16,,
RT_TLraX0,,80,1,1,1,1,1,1,,,,,,,,,,,1,,,,,,,,1,1,1,,,,,,,,
RT_TDistShapeC,,81,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,0.05,,,,,,,,0.05,0.05,0.05,,,,,,,,
RT_TDecDepthC,,82,3,3,3,3,3,3,,,,,,,,,,,3,,,,,,,,3,3,3,,,,,,,,
RT_THalfLife,,83,60,60,60,60,60,60,,,,,,,,,,,60,,,,,,,,60,60,60,,,,,,,,
RT_TDistResp,,84,2,2,2,2,2,2,,,,,,,,,,,2,,,,,,,,2,2,2,,,,,,,,
RT_TAllocResp,,85,2,2,2,2,2,2,,,,,,,,,,,2,,,,,,,,2,2,2,,,,,,,,
RT_TAlloc,,86,0.1,0.15,0.1,0.1,0.1,0.15,,,,,,,,,,,0.1,,,,,,,,0.1,0.1,0.1,,,,,,,,
T_DiamRtLeng1,,87,10,10,10,10,10,10,,,,,,,,,,,10,,,,,,,,10,10,10,,,,,,,,
T_DiamSlopeRtLeng,,88,1.5,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,1.5,,,,,,,,1.5,1.5,1.5,,,,,,,,
T_DiamRtWght1,,89,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.5,,,,,,,,0.5,0.5,0.5,,,,,,,,
T_DiamSlopeRtWght,,90,2.3,2.3,2.3,2.3,2.3,2.3,,,,,,,,,,,2.3,,,,,,,,2.3,2.3,2.3,,,,,,,,
RT_TProxGini,,91,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,0.3,,,,,,,,0.3,0.3,0.3,,,,,,,,
T_MycMaxInf,,92,0.3,0.3,0.3,0.3,0.3,0.3,,,,,,,,,,,0.3,,,,,,,,0.3,0.3,0.3,,,,,,,,
N_TRhizKaPMod,,93,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
T_NutMob,N,94,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
T_NutMob,P,95,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
SB_TTempTol,,96,75,75,75,75,75,75,,,,,,,,,,,75,,,,,,,,75,60,60,,,,,,,,
E_CovEffT,,97,0.05,0.05,0.05,0.05,0.05,0.05,,,,,,,,,,,0.05,,,,,,,,0.05,0.05,0.05,,,,,,,,
PD_TEatenBy_is,Pigs,98,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
PD_TEatenBy_is,Monkeys,99,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
PD_TEatenBy_is,Grasshoppers,100,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
PD_TEatenBy_is,Nematodes,101,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
PD_TEatenBy_is,Goats,102,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
PD_TEatenBy_is,Buffalo,103,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
PD_TEatenBy_is,Birds,104,0,0,0,0,0,0,,,,,,,,,,,0,,,,,,,,0,0,0,,,,,,,,
